 コマノレジーナ, アドマイヤミヤビ
 コマノレジーナ, アエロリット
 コマノレジーナ, フローレスマジック
 コマノレジーナ, レーヌミノル
 コマノレジーナ, ハナレイムーン
 コマノレジーナ, パフォーム
 コマノレジーナ, スズカゼ
 コマノレジーナ, モリトシラユリ
 コマノレジーナ, トーホウアイレス
 コマノレジーナ, ヴィーナスアロー
 コマノレジーナ, アルミューテン
 コマノレジーナ, ディヴァインハイツ
 コマノレジーナ, セイウンキラビヤカ
 コマノレジーナ, サクセスライン
 コマノレジーナ, スズカグラーテ
