 ユキノタイガ, プラチナムバレット
 ユキノタイガ, サトノクロニクル
 ユキノタイガ, ダノンディスタンス
 ユキノタイガ, サトノリュウガ
 ユキノタイガ, ミッキースワロー
 ユキノタイガ, ゴールドハット
 ユキノタイガ, インヴィクタ
 ユキノタイガ, メルヴィンカズマ
 ユキノタイガ, ウインベラシアス
 ユキノタイガ, ハギノアレス
 ユキノタイガ, カケルテソーロ
