 コパノリスボン, グレンツェント
 コパノリスボン, ケイティブレイブ
 コパノリスボン, レガーロ
 コパノリスボン, ピットボス
 コパノリスボン, エネスク
 コパノリスボン, マイネルバサラ
 コパノリスボン, ネクストムーブ
 コパノリスボン, ラテールプロミーズ
 コパノリスボン, フォースリッチ
 コパノリスボン, オーシャンビュー
 コパノリスボン, グランセブルス
 コパノリスボン, ヨシオ
