 マイブルーヘブン, セダブリランテス
 マイブルーヘブン, ウインガナドル
 マイブルーヘブン, ロードリベラル
 マイブルーヘブン, クリアザトラック
 マイブルーヘブン, マイネルスフェーン
 マイブルーヘブン, サトノクロニクル
 マイブルーヘブン, バルベーラ
 マイブルーヘブン, ビービーガウディ
 マイブルーヘブン, グランドボヌール
 マイブルーヘブン, ライジングリーズン
 マイブルーヘブン, ニシノアップルパイ
