 ダノンディスタンス, カデナ
 ダノンディスタンス, ヴァナヘイム
 ダノンディスタンス, ベストアプローチ
 ダノンディスタンス, ワンダープチュック
 ダノンディスタンス, ソーグリッタリング
 ダノンディスタンス, プラチナヴォイス
 ダノンディスタンス, マイネルザウバア
 ダノンディスタンス, エーティーラッセン
 ダノンディスタンス, アダムバローズ
 ダノンディスタンス, プラチナムバレット
 ダノンディスタンス, サトノクロニクル
 ダノンディスタンス, サトノリュウガ
 ダノンディスタンス, ミッキースワロー
 ダノンディスタンス, ゴールドハット
 ダノンディスタンス, インヴィクタ
 ダノンディスタンス, メルヴィンカズマ
 ダノンディスタンス, ウインベラシアス
 ダノンディスタンス, ハギノアレス
 ダノンディスタンス, カケルテソーロ
 ダノンディスタンス, ユキノタイガ
