 ショワドゥロワ, ブレスジャーニー
 ショワドゥロワ, スワーヴリチャード
 ショワドゥロワ, ムーヴザワールド
 ショワドゥロワ, キングズラッシュ
 ショワドゥロワ, トラスト
 ショワドゥロワ, ジュンヴァリアス
 ショワドゥロワ, エルデュクラージュ
 ショワドゥロワ, マイネルエパティカ
 ショワドゥロワ, オーバースペック
