 ヴィーナスアロー, アドマイヤミヤビ
 ヴィーナスアロー, アエロリット
 ヴィーナスアロー, フローレスマジック
 ヴィーナスアロー, レーヌミノル
 ヴィーナスアロー, ハナレイムーン
 ヴィーナスアロー, パフォーム
 ヴィーナスアロー, スズカゼ
 ヴィーナスアロー, モリトシラユリ
 ヴィーナスアロー, トーホウアイレス
 ヴィーナスアロー, アルミューテン
 ヴィーナスアロー, コマノレジーナ
 ヴィーナスアロー, ディヴァインハイツ
 ヴィーナスアロー, セイウンキラビヤカ
 ヴィーナスアロー, サクセスライン
 ヴィーナスアロー, スズカグラーテ
 ヴィーナスアロー, ファンディーナ
 ヴィーナスアロー, シーズララバイ
 ヴィーナスアロー, ドロウアカード
 ヴィーナスアロー, エバープリンセス
 ヴィーナスアロー, ディーパワンサ
 ヴィーナスアロー, サンティール
 ヴィーナスアロー, サクレエクスプレス
 ヴィーナスアロー, デアレガーロ
 ヴィーナスアロー, ブライトムーン
