 オメガタックスマン, オーミアリス
 オメガタックスマン, レオパルディナ
 オメガタックスマン, スノーエンジェル
 オメガタックスマン, ゼンノイザナギ
 オメガタックスマン, リッパーザウィン
 オメガタックスマン, タガノアザガル
 オメガタックスマン, セカンドテーブル
 オメガタックスマン, タガノヴェルリー
 オメガタックスマン, デイドリーム
 オメガタックスマン, ダンツメガヒット
 オメガタックスマン, クリノヤクマン
 オメガタックスマン, クールホタルビ
 オメガタックスマン, ノーブルルージュ
 オメガタックスマン, メイショウマサカゼ
 オメガタックスマン, ロットリー
 オメガタックスマン, ヒマラヤテンカ
 オメガタックスマン, タムロダイチ
