 テイエムキュウコー, タガノグランパ
 テイエムキュウコー, サトノルパン
 テイエムキュウコー, アルマエルナト
 テイエムキュウコー, ベルルミエール
 テイエムキュウコー, タガノブルグ
 テイエムキュウコー, ショウナンアチーヴ
 テイエムキュウコー, カラダレジェンド
 テイエムキュウコー, ネロ
 テイエムキュウコー, マキャヴィティ
 テイエムキュウコー, ダンツブロード
 テイエムキュウコー, テーオーソルジャー
 テイエムキュウコー, クリノイザナミ
 テイエムキュウコー, シゲルカガ
 テイエムキュウコー, ウインスプラッシュ
 テイエムキュウコー, ベニノラッキーマン
 テイエムキュウコー, ビアンコカンドーレ
 テイエムキュウコー, キタサンラブコール
