 アルジャンテ, ビービーバーレル
 アルジャンテ, ダイワドレッサー
 アルジャンテ, ダイワダッチェス
 アルジャンテ, クードラパン
 アルジャンテ, コパノマリーン
 アルジャンテ, ラブリーアモン
 アルジャンテ, リセエンヌ
 アルジャンテ, フジマサアクトレス
 アルジャンテ, レッドシルヴィ
 アルジャンテ, ラシーム
 アルジャンテ, ボーアムルーズ
 アルジャンテ, ポロス
 アルジャンテ, ルミナスティアラ
 アルジャンテ, シーブリーズラブ
 アルジャンテ, ハマヒルガオ
