 ラッフォルツァート, クイーンズリング
 ラッフォルツァート, ペルフィカ
 ラッフォルツァート, ムーンエクスプレス
 ラッフォルツァート, スマートプラネット
 ラッフォルツァート, ノーブルヴィーナス
 ラッフォルツァート, レオパルディナ
 ラッフォルツァート, スマートグレイス
 ラッフォルツァート, グレイスフルワード
 ラッフォルツァート, バチスタ
 ラッフォルツァート, エフェクト
 ラッフォルツァート, ダノングラシアス
 ラッフォルツァート, クールホタルビ
 ラッフォルツァート, ラホーヤビーチ
 ラッフォルツァート, オーミアリス
 ラッフォルツァート, コートシャルマン
 ラッフォルツァート, ウィッシュハピネス
 ラッフォルツァート, ラクアミ
