 コウエイキング, メイショウブシドウ
 コウエイキング, アラタマユニバース
 コウエイキング, グリッターウイング
 コウエイキング, オースミムーン
 コウエイキング, ドリームチャージ
 コウエイキング, チョイワルグランパ
 コウエイキング, アシュヴィン
 コウエイキング, シンワカントリー
 コウエイキング, バードバーニング
 コウエイキング, マイネルガヴロシュ
 コウエイキング, ピカピカテッタ
 コウエイキング, クレバーベスト
 コウエイキング, ニライジンク
