 グランフィデリオ, ミッキーアイル
 グランフィデリオ, タガノグランパ
 グランフィデリオ, フェルメッツァ
 グランフィデリオ, タガノブルグ
 グランフィデリオ, マキャヴィティ
 グランフィデリオ, グッドスピリッツ
 グランフィデリオ, エイシンブルズアイ
 グランフィデリオ, アドマイヤメテオ
 グランフィデリオ, レッドルシファー
