 エイシンフランキー, オジュウチョウサン
 エイシンフランキー, ウインヤード
 エイシンフランキー, タナトス
 エイシンフランキー, アロヒラニ
 エイシンフランキー, ビップハテンコウ
 エイシンフランキー, ビコーピリラニ
 エイシンフランキー, ブライトボーイ
 エイシンフランキー, ユキノスライダー
 エイシンフランキー, トーセンハナミズキ
 エイシンフランキー, ラガーギアチェンジ
 エイシンフランキー, クラウンデピュティ
 エイシンフランキー, メイショウヒデタダ
 エイシンフランキー, テーオーゼウス
