 ジュンドリーム, アサクサゲンキ
 ジュンドリーム, アイアンクロー
 ジュンドリーム, バーニングペスカ
 ジュンドリーム, ヴァイザー
 ジュンドリーム, イイコトズクシ
 ジュンドリーム, ペイシャルアス
 ジュンドリーム, モズスーパーフレア
 ジュンドリーム, スーサンドン
 ジュンドリーム, タイセイソニック
 ジュンドリーム, オーロスターキス
 ジュンドリーム, ルリハリ
 ジュンドリーム, シトリカ
 ジュンドリーム, ナムラアッパレ
 ジュンドリーム, テイエムスグレモン
 ジュンドリーム, ナムラバンザイ
 ジュンドリーム, ニシノダンテ
 ジュンドリーム, フローラルシトラス
