 タムロダイチ, オーミアリス
 タムロダイチ, レオパルディナ
 タムロダイチ, スノーエンジェル
 タムロダイチ, ゼンノイザナギ
 タムロダイチ, リッパーザウィン
 タムロダイチ, タガノアザガル
 タムロダイチ, セカンドテーブル
 タムロダイチ, タガノヴェルリー
 タムロダイチ, デイドリーム
 タムロダイチ, ダンツメガヒット
 タムロダイチ, クリノヤクマン
 タムロダイチ, オメガタックスマン
 タムロダイチ, クールホタルビ
 タムロダイチ, ノーブルルージュ
 タムロダイチ, メイショウマサカゼ
 タムロダイチ, ロットリー
 タムロダイチ, ヒマラヤテンカ
