 ロンギングケイシー, タイセイドリーム
 ロンギングケイシー, アロヒラニ
 ロンギングケイシー, ティリアンパープル
 ロンギングケイシー, タナトス
 ロンギングケイシー, ゴールデンヒーロー
 ロンギングケイシー, ウインヤード
 ロンギングケイシー, ポールシッター
 ロンギングケイシー, アップトゥデイト
 ロンギングケイシー, マイネルクレイズ
 ロンギングケイシー, コスモパルダ
 ロンギングケイシー, ウインイルソーレ
 ロンギングケイシー, ラステラ
 ロンギングケイシー, エーシンホワイティ
