 オフクヒメ, シュウジ
 オフクヒメ, サイモンゼーレ
 オフクヒメ, レッドラウダ
 オフクヒメ, レッドカーペット
 オフクヒメ, コウエイテンマ
 オフクヒメ, タガノミルキー
 オフクヒメ, キンショーユキヒメ
 オフクヒメ, ブンブンブラウ
 オフクヒメ, ファビラスヒーロー
 オフクヒメ, ジュンゲル
 オフクヒメ, ゼンノハーデース
 オフクヒメ, オウケンダイヤ
 オフクヒメ, クリノシャンボール
