 グランセブルス, グレンツェント
 グランセブルス, ケイティブレイブ
 グランセブルス, レガーロ
 グランセブルス, ピットボス
 グランセブルス, エネスク
 グランセブルス, マイネルバサラ
 グランセブルス, ネクストムーブ
 グランセブルス, ラテールプロミーズ
 グランセブルス, フォースリッチ
 グランセブルス, オーシャンビュー
 グランセブルス, コパノリスボン
 グランセブルス, ヨシオ
