 シンボリジュネス, ディアドラ
 シンボリジュネス, カリビアンゴールド
 シンボリジュネス, ポールヴァンドル
 シンボリジュネス, ブラックオニキス
 シンボリジュネス, ライジングリーズン
 シンボリジュネス, ルヴォワール
 シンボリジュネス, ミッシングリンク
 シンボリジュネス, サロニカ
 シンボリジュネス, ホウオウパフューム
 シンボリジュネス, プリンセスルーラー
 シンボリジュネス, シーズララバイ
 シンボリジュネス, ナムラムラサキ
 シンボリジュネス, マナローラ
 シンボリジュネス, フレスコパスト
 シンボリジュネス, ワラッチャウヨネ
 シンボリジュネス, ジッパーレーン
 シンボリジュネス, ガジュマル
