 ガーシュウィン, レヴァンテライオン
 ガーシュウィン, モンドキャンノ
 ガーシュウィン, タイムトリップ
 ガーシュウィン, メローブリーズ
 ガーシュウィン, ドゥモワゼル
 ガーシュウィン, バリンジャー
 ガーシュウィン, ロイヤルメジャー
 ガーシュウィン, バンドオンザラン
 ガーシュウィン, ネコワールド
 ガーシュウィン, フクノクオリア
 ガーシュウィン, ザベストエバー
 ガーシュウィン, ポッドジーニー
 ガーシュウィン, ラッシュアウト
 ガーシュウィン, ラーナアズーラ
 ガーシュウィン, ピンクドッグウッド
