 サージュミノル, ロックディスタウン
 サージュミノル, ファストアプローチ
 サージュミノル, ダブルシャープ
 サージュミノル, シスターフラッグ
 サージュミノル, コスモインザハート
 サージュミノル, クリノクーニング
 サージュミノル, ミスマンマミーア
 サージュミノル, ロードトレジャー
 サージュミノル, マツカゼ
 サージュミノル, カレンシリエージョ
 サージュミノル, ディバインブリーズ
 サージュミノル, ヴィオトポス
 サージュミノル, ロジャージーニアス
