 グランデウィーク, フロンティア
 グランデウィーク, コーディエライト
 グランデウィーク, テンクウ
 グランデウィーク, エングローサー
 グランデウィーク, キボウノダイチ
 グランデウィーク, オーデットエール
 グランデウィーク, プレトリア
 グランデウィーク, マイネルサイルーン
 グランデウィーク, シンデレラメイク
 グランデウィーク, フィルハーモニー
 グランデウィーク, トッカータ
 グランデウィーク, ムスコローソ
 グランデウィーク, ダンツセイケイ
 グランデウィーク, ラインギャラント
