 ダイワソフィー, フォーエバーモア
 ダイワソフィー, マジックタイム
 ダイワソフィー, ニシノアカツキ
 ダイワソフィー, プレミアステイタス
 ダイワソフィー, デルマサリーチャン
 ダイワソフィー, セレナビアンカ
 ダイワソフィー, グリサージュ
 ダイワソフィー, タイセイティグレス
 ダイワソフィー, シュヴァリエ
 ダイワソフィー, サクラパリュール
 ダイワソフィー, ラインハーディー
 ダイワソフィー, フリュクティドール
 ダイワソフィー, デルフィーノ
 ダイワソフィー, カノーロ
 ダイワソフィー, ツクバアスナロ
