 スーサンドン, アサクサゲンキ
 スーサンドン, アイアンクロー
 スーサンドン, バーニングペスカ
 スーサンドン, ヴァイザー
 スーサンドン, イイコトズクシ
 スーサンドン, ペイシャルアス
 スーサンドン, モズスーパーフレア
 スーサンドン, タイセイソニック
 スーサンドン, オーロスターキス
 スーサンドン, ルリハリ
 スーサンドン, シトリカ
 スーサンドン, ナムラアッパレ
 スーサンドン, テイエムスグレモン
 スーサンドン, ナムラバンザイ
 スーサンドン, ジュンドリーム
 スーサンドン, ニシノダンテ
 スーサンドン, フローラルシトラス
