 バーニングペスカ, アサクサゲンキ
 バーニングペスカ, アイアンクロー
 バーニングペスカ, ヴァイザー
 バーニングペスカ, イイコトズクシ
 バーニングペスカ, ペイシャルアス
 バーニングペスカ, モズスーパーフレア
 バーニングペスカ, スーサンドン
 バーニングペスカ, タイセイソニック
 バーニングペスカ, オーロスターキス
 バーニングペスカ, ルリハリ
 バーニングペスカ, シトリカ
 バーニングペスカ, ナムラアッパレ
 バーニングペスカ, テイエムスグレモン
 バーニングペスカ, ナムラバンザイ
 バーニングペスカ, ジュンドリーム
 バーニングペスカ, ニシノダンテ
 バーニングペスカ, フローラルシトラス
