 ディープウォーリア, トラスト
 ディープウォーリア, ブラックオニキス
 ディープウォーリア, アドマイヤウイナー
 ディープウォーリア, エトルディーニュ
 ディープウォーリア, フラワープレミア
 ディープウォーリア, ジャコマル
 ディープウォーリア, インヴィクタ
 ディープウォーリア, タガノアシュラ
 ディープウォーリア, アンノートル
 ディープウォーリア, トリオンフ
 ディープウォーリア, コリエドール
 ディープウォーリア, コパノカーニバル
