 ルッジェーロ, ダノンプレミアム
 ルッジェーロ, ステルヴィオ
 ルッジェーロ, カーボナード
 ルッジェーロ, テンクウ
 ルッジェーロ, シュバルツボンバー
 ルッジェーロ, ダブルシャープ
 ルッジェーロ, コスモインザハート
 ルッジェーロ, ソイルトゥザソウル
 ルッジェーロ, ボウルズ
 ルッジェーロ, エングローサー
 ルッジェーロ, マイネルサイルーン
 ルッジェーロ, バイオレントブロー
 ルッジェーロ, メイショウドウドウ
 ルッジェーロ, ハクサンフエロ
 ルッジェーロ, メルムサール
 ルッジェーロ, スワーヴエドワード
 ルッジェーロ, スターリバー
