 ハギノアレス, プラチナムバレット
 ハギノアレス, サトノクロニクル
 ハギノアレス, ダノンディスタンス
 ハギノアレス, サトノリュウガ
 ハギノアレス, ミッキースワロー
 ハギノアレス, ゴールドハット
 ハギノアレス, インヴィクタ
 ハギノアレス, メルヴィンカズマ
 ハギノアレス, ウインベラシアス
 ハギノアレス, カケルテソーロ
 ハギノアレス, ユキノタイガ
