 キャピシーヌ, クラリティスカイ
 キャピシーヌ, ネオルミエール
 キャピシーヌ, ミッキーユニバース
 キャピシーヌ, オープンザウェイ
 キャピシーヌ, ニシノクラッチ
 キャピシーヌ, グァンチャーレ
 キャピシーヌ, マイネルグルマン
 キャピシーヌ, タケデンタイガー
 キャピシーヌ, サトノフラム
 キャピシーヌ, マコトダッソー
 キャピシーヌ, クラウンノキミ
