 フォルテミノル, スマートオーディン
 フォルテミノル, アグネスフォルテ
 フォルテミノル, ロイカバード
 フォルテミノル, ブラックスピネル
 フォルテミノル, エルプシャフト
 フォルテミノル, エルリストン
 フォルテミノル, スワーヴアーサー
 フォルテミノル, ゼンノタヂカラオ
 フォルテミノル, スズカバーディー
 フォルテミノル, ダンツエイコウ
 フォルテミノル, ユウチェンジ
 フォルテミノル, カルムパシオン
 フォルテミノル, アドマイヤビスタ
