着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,コーナー通過順位,推定上り,馬体重（増減）,調教師,単勝人気
1,,5,                    サートゥルナーリア                  ,牡2,55.0,M.デムーロ,2:01.6,,2234,35.3,                    500(+12),中竹 和也,1
2,,8,                    アドマイヤジャスタ                  ,牡2,55.0,C.ルメール,2:01.8,１ 1/2,2222,35.6,                    504(+4),須貝 尚介,2
3,,1,                    ニシノデイジー                  ,牡2,55.0,勝浦 正樹,2:01.9,３／４,4469,35.3,                    490(+4),高木 登,3
4,,13,                    コスモカレンドゥラ                  ,牡2,55.0,戸崎 圭太,2:02.2,１ 1/2,1111,36.1,                    444(+2),田中 博康,8
5,,2,                    ブレイキングドーン                  ,牡2,55.0,福永 祐一,2:02.2,ハナ,6632,35.9,                    494(+6),中竹 和也,4
6,,11,                    ヴァンドギャルド                  ,牡2,55.0,C.デムーロ,2:02.2,アタマ,1211107,35.4,                    466(+6),藤原 英昭,5
7,,4,                    ヒルノダカール                  ,牡2,55.0,松田 大作,2:02.3,１／２,6654,35.8,                    520(+8),北出 成人,9
8,,3,                    キングリスティア                  ,牡2,55.0,内田 博幸,2:02.3,ハナ,13131310,35.3,                    506(+4),河内 洋,6
9,,7,                    ミッキーブラック                  ,牡2,55.0,O.マーフィー,2:02.7,２ 1/2,101067,36.1,                    476(+4),音無 秀孝,7
10,,10,                    マードレヴォイス                  ,牡2,55.0,三浦 皇成,2:02.9,１ 1/2,1111910,36.2,                    460(0),田村 康仁,13
11,,9,                    ジャストアジゴロ                  ,牡2,55.0,田辺 裕信,2:03.1,１ 1/4,8864,36.5,                    450(+4),大和田 成,10
12,,6,                    ハクサンタイヨウ                  ,牡2,55.0,松岡 正海,2:03.5,２ 1/2,881012,36.7,                    476(+2),浅野 洋一郎,12
13,,12,                    タニノドラマ                  ,牡2,55.0,池添 謙一,2:05.9,大差,441013,39.1,                    428(+4),松田 国英,11
