着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,,  2, アウォーディー,牡5,55.0,,武豊,2:04.6,　,36.6,508,+8,松永幹夫,3
  2,,  8, ダノンリバティ,牡3,55.0,,戸崎圭太,2:05.1,３,37.6,518,+4,音無秀孝,1
  3,,  3, ナムラビクター,牡6,58.0,,Ｍ．デムーロ,2:05.1,アタマ,36.7,526,+2,福島信晴,2
  4,,  1, キングヒーロー,牡6,54.0,,小牧太,2:05.2,３／４,37.2,502,+2,大橋勇樹,12
  5,,  7, トウシンイーグル,せん7,55.0,,和田竜二,2:05.4,１ 1/4,36.8,480, 0,山内研二,10
  6,,  4, ニホンピロアワーズ,牡8,58.5,,酒井学,2:05.6,１ 1/4,38.0,538,+18,大橋勇樹,8
  7,, 10, ランウェイワルツ,牡4,56.0,,浜中俊,2:05.9,１ 3/4,38.4,502,-2,音無秀孝,4
  8,,  5, トウケイヘイロー,牡6,58.0,,松若風馬,2:05.9,ハナ,38.9,510,+6,清水久詞,6
  9,,  6, アメリカンウィナー,牡6,54.0,,幸英明,2:06.2,１ 3/4,38.5,492,-6,戸田博文,9
 10,, 11, グランドシチー,牡8,58.0,,津村明秀,2:07.0,５,39.8,480, 0,相沢郁,11
 11,,  9, マルカプレジオ,牡7,57.0,,福永祐一,2:07.3,２,39.1,510,+8,今野貞一,5
 12,, 12, キクノソル,牡5,55.0,,Ｃ．ルメール,2:07.3,クビ,39.6,516, 0,北出成人,7
