着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,平均１ Ｆ,馬体重,調教師,単勝人気
  1,,  1, ダンツミュータント,牡6,60.0,,森一馬,3:35.2,　,13.6,444,+6,本田優,3
  2,,  9, ニジブルーム,牡7,60.0,,小坂忠士,3:35.2,クビ,13.6,500,-2,山内研二,6
  3,,  8, ウォンテッド,牡5,60.0,,高田潤,3:35.5,１ 3/4,13.6,494,-2,松田国英,2
  4,, 11, ドリームセーリング,牡8,60.0,,石神深一,3:35.5,クビ,13.6,476,-10,田島俊明,7
  5,, 10, オールアズワン,牡7,60.0,,北沢伸也,3:36.6,７,13.7,510,+12,加用正,5
  6,,  3, エーシンジーライン,牡10,60.0,,西谷誠,3:37.1,３,13.7,502,+10,坂口正則,4
  7,,  7, ファイアーシチー,牡4,60.0,,熊沢重文,3:37.5,２ 1/2,13.7,468,+10,佐々木晶三,11
  8,,  6, シゲルキョクチョウ,牡7,60.0,,植野貴也,3:38.5,６,13.8,498,-2,湯窪幸雄,8
  9,,  4, ルールプロスパー,牡10,61.0,,白浜雄造,3:39.9,９,13.9,464,-4,北出成人,1
中止,,  2, ミヤコデラックス,牡6,60.0,,五十嵐雄祐,,　,,478,+6,菅原泰夫,9
中止,,  5, トウケイゴールド,牡5,60.0,,黒岩悠,,　,,488,-10,清水久詞,10
