着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,平均１ Ｆ,馬体重,調教師,単勝人気
  1,, 14, ルールプロスパー,牡10,61.0,,白浜雄造,4:26.2,　,13.5,468,-10,北出成人,3
  2,,  8, マサライト,牡11,60.0,,北沢伸也,4:26.9,４,13.6,502,-8,浜田多実雄,6
  3,, 11, アポロマーベリック,牡6,62.0,,五十嵐雄祐,4:27.0,クビ,13.6,528, 0,堀井雅広,2
  4,,  2, ソンブレロ,牡5,60.0,,高田潤,4:29.5,大差,13.7,470,-6,松田国英,1
  5,,  3, コスモソユーズ,牡7,60.0,,山本康志,4:30.0,３,13.7,496,-8,田中剛,9
  6,,  9, ダンツミュータント,牡6,60.0,,平沢健治,4:31.3,８,13.8,434,-8,本田優,8
  7,, 12, ミヤコデラックス,牡6,60.0,,草野太郎,4:31.6,１ 3/4,13.8,474,-4,菅原泰夫,14
  8,,  7, アルトゥバン,牡7,60.0,,黒岩悠,4:33.5,大差,13.9,486,-6,清水久詞,4
  9,,  6, メジロサンノウ,牡7,60.0,,浜野谷憲尚,4:33.8,１ 3/4,13.9,474,-2,高橋文雅,13
 10,, 13, アラタマユニバース,牡6,60.0,,中村将之,4:34.0,１,13.9,488, 0,浜田多実雄,10
 11,,  5, ファイヤー,牡7,60.0,,森一馬,4:35.0,６,14.0,520,+2,本田優,7
 12,,  1, テイエムセイリュウ,牡6,60.0,,難波剛健,4:44.2,大差,14.5,496,-12,五十嵐忠男,12
中止,,  4, アドマイヤサイモン,牡7,60.0,,西谷誠,,　,,470,-2,松田博資,11
中止,, 10, シゲルジュウヤク,牡7,61.0,,植野貴也,,　,,500,-8,湯窪幸雄,5
