着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,,  9,ブラックムーン,牡6,57.0,,武豊,1:34.3,,33.9,500,-6,西浦勝一,4
  2,, 13,クルーガー,牡6,57.5,,浜中俊,1:34.4,３／４,34.5,538, 0,高野友和,3
  3,,  7,レッドアンシェル,牡4,56.0,,幸英明,1:34.4,クビ,34.8,458,+2,庄野靖志,1
  4,,  6,ダノンメジャー,牡6,56.5,,北村友一,1:34.5,１／２,35.1,498, 0,橋口慎介,6
  5,,  8,ストーミーシー,牡5,54.0,,大野拓弥,1:34.5,ハナ,34.2,530,-2,斎藤誠,8
  6,,  5,カラクレナイ,牝4,54.0,,池添謙一,1:34.6,１／２,35.0,500,+4,松下武士,11
  7,, 11,キョウヘイ,牡4,55.0,,高倉稜,1:34.7,クビ,34.5,438,-6,宮本博,7
  8,,  2,ラビットラン,牝4,54.0,,藤岡康太,1:34.7,クビ,34.8,442,-4,角居勝彦,2
  9,,  1,マサハヤドリーム,牡6,54.0,,岩崎翼,1:34.7,アタマ,34.6,480,+2,今野貞一,13
 10,,  4,アメリカズカップ,牡4,56.0,,松山弘平,1:34.8,クビ,35.5,458,+2,音無秀孝,9
 11,, 10,スズカデヴィアス,牡7,56.5,,藤岡佑介,1:34.8,クビ,34.7,526,+4,橋田満,12
 12,,  3,マイネルアウラート,牡7,57.0,,丹内祐次,1:35.2,２ 1/2,35.7,476,+2,高橋裕,10
 13,, 12,ウインガニオン,牡6,57.5,,津村明秀,1:38.0,大差,38.8,498, 0,西園正都,5
