着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,,  1,アーモンドアイ,牝3,53.0,,Ｃ．ルメール,2:20.6,レコード,34.1,472,-8,国枝栄,1
  2,,  8,キセキ,牡4,57.0,,川田将雅,2:20.9,１ 3/4,34.7,504,+8,中竹和也,4
  3,, 11,スワーヴリチャード,牡4,57.0,,Ｍ．デムーロ,2:21.5,３ 1/2,34.7,510, 0,庄野靖志,2
  4,,  9,シュヴァルグラン,牡6,57.0,,Ｃ．デムーロ,2:21.5,クビ,34.5,468,-4,友道康夫,5
  5,,  5,ミッキースワロー,牡4,57.0,,横山典弘,2:21.9,２,33.9,482, 0,菊沢隆徳,8
  6,,  3,サトノダイヤモンド,牡5,57.0,,Ｊ．モレイラ,2:21.9,クビ,34.7,504,-8,池江泰寿,3
  7,,  2,ハッピーグリン,牡3,55.0,,服部茂史,2:22.2,１ 3/4,34.9,460,+4,田中淳司,14
  8,, 14,ウインテンダネス,牡5,57.0,,内田博幸,2:22.3,クビ,35.3,506,+2,杉山晴紀,10
  9,,  4,サトノクラウン,牡6,57.0,,Ｗ．ビュイック,2:22.6,２,35.1,500,+18,堀宣行,9
 10,,  6,サンダリングブルー,せん5,57.0,,Ｆ．ベリー,2:23.4,５,35.0,482,前計不,Ｄ．ムニュイジエ,7
 11,, 12,カプリ,牡4,57.0,,Ｒ．ムーア,2:23.7,１ 3/4,36.0,480,前計不,Ａ．オブライエン,6
 12,, 10,ガンコ,牡5,57.0,,蛯名正義,2:24.3,３ 1/2,37.4,506,+6,松元茂樹,11
 13,, 13,ノーブルマーズ,牡5,57.0,,高倉稜,2:24.8,３,38.2,492,-4,宮本博,12
 14,,  7,サウンズオブアース,牡7,57.0,,田辺裕信,2:25.2,２ 1/2,38.0,490,-2,藤岡健一,13
