着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,, 16, マリアライト,牝5,56.0,,蛯名正義,2:12.8,　,36.3,438, 0,久保田貴士,8
  2,,  9, ドゥラメンテ,牡4,58.0,,Ｍ．デムーロ,2:12.8,クビ,36.1,498,前計不,堀宣行,1
  3,,  3, キタサンブラック,牡4,58.0,,武豊,2:12.8,ハナ,36.8,536,+12,清水久詞,2
  4,,  7, ラブリーデイ,牡6,58.0,,Ｃ．ルメール,2:13.0,１ 1/4,36.7,486,-4,池江泰寿,4
  5,,  8, ステファノス,牡5,58.0,,戸崎圭太,2:13.4,２ 1/2,36.9,484,-2,藤原英昭,7
  6,, 15, サトノクラウン,牡4,58.0,,岩田康誠,2:13.5,３／４,36.8,480,+3,堀宣行,9
  7,,  6, ラストインパクト,牡6,58.0,,川田将雅,2:13.8,１ 3/4,37.4,480,前計不,角居勝彦,11
  8,, 12, サトノノブレス,牡6,58.0,,和田竜二,2:13.9,１／２,37.7,496,-8,池江泰寿,10
  9,,  5, シュヴァルグラン,牡4,58.0,,福永祐一,2:14.2,１ 3/4,37.6,468, 0,友道康夫,5
 10,, 14, ヒットザターゲット,牡8,58.0,,小牧太,2:14.3,クビ,37.2,512, 0,加藤敬二,17
 11,, 10, カレンミロティック,せん8,58.0,,Ｔ．ベリー,2:14.3,アタマ,37.7,458, 0,平田修,14
 12,, 13, タッチングスピーチ,牝4,56.0,,浜中俊,2:14.3,クビ,37.2,468,+2,石坂正,16
 13,, 17, ヤマカツエース,牡4,58.0,,池添謙一,2:14.4,１／２,37.6,498,-4,池添兼雄,15
 14,,  4, ワンアンドオンリー,牡5,58.0,,田辺裕信,2:14.8,２ 1/2,38.6,492,前計不,橋口慎介,13
 15,, 11, トーホウジャッカル,牡5,58.0,,酒井学,2:14.9,クビ,38.5,492, 0,谷潔,6
 16,,  2, アンビシャス,牡4,58.0,,横山典弘,2:14.9,クビ,38.6,470,+2,音無秀孝,3
 17,,  1, フェイムゲーム,牡6,58.0,,柴山雄一,2:15.1,１,38.2,458,-2,宗像義忠,12
