着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,,  7, ホエールキャプチャ,牝6,57.0,,蛯名正義,1:33.2,　,34.3,482,+4,田中清隆,8
  2,, 11, エキストラエンド,牡5,56.0,,Ｃ．デムーロ,1:33.4,１,34.6,470,-2,角居勝彦,3
  3,, 12, クラレント,牡5,57.0,,川田将雅,1:33.4,アタマ,35.0,500,+4,橋口弘次郎,5
  4,, 13, コディーノ,牡4,56.0,,Ｕ．リスポリ,1:33.4,クビ,34.8,490,+8,藤沢和雄,1
  5,,  2, サトノギャラント,牡5,56.0,,北村宏司,1:33.5,クビ,34.2,506,+8,藤沢和雄,4
  6,,  5, レイカーラ,牝5,54.0,,石橋脩,1:33.5,クビ,34.7,448,+4,堀宣行,6
  7,,  9, サクラゴスペル,牡6,57.0,,横山典弘,1:33.6,１／２,35.1,484,+8,尾関知人,10
  8,, 14, エールブリーズ,牡4,56.0,,戸崎圭太,1:33.7,１／２,35.1,516,+8,鮫島一歩,11
  9,,  3, セイクリッドセブン,牡7,56.0,,田辺裕信,1:33.7,クビ,34.6,488,+18,松田博資,13
 10,, 10, ショウナンマイティ,牡6,57.0,,浜中俊,1:33.8,１／２,34.3,500,+2,梅田智之,2
 11,, 15, ヴィルシーナ,牝5,56.0,,内田博幸,1:34.4,３ 1/2,36.0,456,+2,友道康夫,9
 12,,  1, ラインブラッド,牡8,56.0,,岩田康誠,1:34.6,１ 1/4,35.5,510,-2,領家政蔵,14
 13,,  8, レッドスパーダ,牡8,58.0,,Ｇ．ブノワ,1:34.7,１／２,36.4,530,+2,藤沢和雄,7
 14,,  6, コスモセンサー,牡7,56.0,,柴田大知,1:35.8,７,37.7,518,+4,西園正都,12
取消,,  4, サトノシュレン,牡6,56.0,,武豊,,　,, ,,村山明,
取消,, 16, リルダヴァル,牡7,56.0,,三浦皇成,,　,, ,,池江泰寿,
