着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,コーナー通過順位,推定上り,馬体重（増減）,調教師,単勝人気
1,,6,                    アドマイヤマーズ                  ,牡2,55.0,M.デムーロ,1:33.9,,33,33.9,                    470(-2),友道 康夫,2
2,,1,                    クリノガウディー                  ,牡2,55.0,藤岡 佑介,1:34.2,２,44,34.0,                    492(+2),藤沢 則雄,9
3,,2,                    グランアレグリア                  ,牝2,54.0,C.ルメール,1:34.3,１／２,22,34.6,                    482(+6),藤沢 和雄,1
4,,14,                    ファンタジスト                  ,牡2,55.0,武 豊,1:34.5,１ 1/2,66,33.9,                    474(0),梅田 智之,3
5,,8,                    ディープダイバー                  ,牡2,55.0,川田 将雅,1:34.7,１ 1/4,44,34.5,                    452(0),大久保 龍志,11
6,,15,                    エメラルファイト                  ,牡2,55.0,W.ビュイック,1:35.1,２ 1/2,1413,33.5,                    448(+4),相沢 郁,7
7,,3,アスターペガサス                  ,牡2,55.0,福永 祐一,1:35.4,１ 1/2,66,34.8,                    498(-4),中竹 和也,8
8,,10,                    ヒラソール                  ,牡2,55.0,岩田 康誠,1:35.5,１／２,88,34.6,                    460(+2),加用 正,14
9,,9,                    イッツクール                  ,牡2,55.0,松田 大作,1:35.6,１／２,11,36.1,                    470(0),武 英智,12
10,,5,                    マイネルサーパス                  ,牡2,55.0,丹内 祐次,1:35.7,３／４,1213,34.1,                    478(+2),高木 登,5
11,,12,                    コパノマーティン                  ,牡2,55.0,坂井 瑠星,1:35.9,１ 1/4,912,34.4,                    474(-4),村山 明,15
12,,4,                    ドゴール                  ,牡2,55.0,津村 明秀,1:36.0,クビ,910,34.7,                    458(+10),黒岩 陽一,6
13,,11,                    ケイデンスコール                  ,牡2,55.0,C.デムーロ,1:36.0,ハナ,1210,34.6,                    468(+6),安田 隆行,4
14,,7,                    ソルトイブキ                  ,牡2,55.0,四位 洋文,1:36.4,２ 1/2,1415,34.6,                    476(+2),木原 一良,13
15,,13,                    ニホンピロヘンソン                  ,牡2,55.0,浜中 俊,1:36.6,１ 1/4,99,35.5,                    472(+4),安達 昭夫,10
