関西テレビ放送賞ローズステークス
ダノンファンタジー
ビーチサンバ
ウィクトーリア
シゲルピンクダイヤ
メイショウショウブ
スイープセレリタス
モアナアネラ
アルティマリガーレ
シャドウディーヴァ
ビックピクチャー
ベストクィーン
ラシェーラ
