農林水産省賞典　阪神ジュベナイルフィリーズ
レシステンシア
マルターズディオサ
クラヴァシュドール
ウーマンズハート
ヤマカツマーメイド
リアアメリア
カワキタアジン
クリスティ
ジェラペッシュ
ボンボヤージ
オータムレッド
ロータスランド
ヒメサマ
スウィートメリナ
エレナアヴァンティ
ルーチェデラヴィタ
