カペラステークス
コパノキッキング
テーオージーニアス
シュウジ
レッドアネラ
ゴールドクイーン
ヒロシゲゴールド
タテヤマ
ドリュウ
ヒザクリゲ
オウケンビリーヴ
ダノングッド
ハニージェイド
ハングリーベン
オールドベイリー
ビップライブリー
シャインヴィットゥ
