ＫＢＳ京都賞ファンタジーステークス
レシステンシア
マジックキャッスル
クリアサウンド
ヤマカツマーメイド
ヒルノマリブ
ケープコッド
ペコリーノロマーノ
シャレード
ベッラヴォルタ
パドゥヴァルス
ラヴォアドゥース
エールヴィオレ
モズアーントモー
レジェーロ
エレナアヴァンティ
