函館２歳ステークス
ビアンフェ
タイセイビジョン
プリンスリターン
パフェムリ
レッドヴェイパー
ブルーパピヨン
メイショウナパワン
リュウノゲキリン
プリモジョーカー
スマートカーリー
ヤマメ
アザワク
イーサンティラノ
ゴッドスター
バブルガムダンサー
マンバー
