ラジオＮＩＫＫＥＩ杯京都２歳ステークス
マイラプソディ
ミヤマザクラ
ロールオブサンダー
トウカイデュエル
ジャストナウ
ヒシタイザン
ショウナンバレリオ
インザムード
ヴァルナ
