フジテレビ賞 スプリングステークス
エメラルファイト
ファンタジスト
ディキシーナイト
タガノディアマンテ
ヒシイグアス
クリノガウディー
ロジャーバローズ
シークレットラン
ゲバラ
ニシノカツナリ
ユニコーンライオン
フィデリオグリーン
リーガルメイン
コスモカレンドゥラ
リバーシブルレーン
カラテ
