朝日杯フューチュリティステークス
サリオス
タイセイビジョン
グランレイ
タガノビューティー
プリンスリターン
ジュンライトボルト
ビアンフェ
ラウダシオン
ウイングレイテスト
レッドベルジュール
トリプルエース
カリニート
マイネルグリット
エグレムニ
メイショウチタン
ペールエール
